record_id,month,day,year,City,country_id,Country,Latitude,Longitude,AverageTemperatureUncertaintyCels,AverageTemperatureCels
474381,6,1,1853,Auckland,NEW,New Zealand,36.17S,175.03E,2.754,11.059
474382,7,1,1853,Auckland,NEW,New Zealand,36.17S,175.03E,1.416,11.326999999999998
474383,8,1,1853,Auckland,NEW,New Zealand,36.17S,175.03E,0.8609999999999987,11.585
474384,9,1,1853,Auckland,NEW,New Zealand,36.17S,175.03E,0.9099999999999989,11.431999999999999
474385,10,1,1853,Auckland,NEW,New Zealand,36.17S,175.03E,1.1020000000000014,12.706999999999999
474386,11,1,1853,Auckland,NEW,New Zealand,36.17S,175.03E,1.2510000000000017,13.716
474387,12,1,1853,Auckland,NEW,New Zealand,36.17S,175.03E,3.0589999999999997,15.469999999999997
474388,1,1,1854,Auckland,NEW,New Zealand,36.17S,175.03E,2.3499999999999983,18.106
474389,2,1,1854,Auckland,NEW,New Zealand,36.17S,175.03E,2.0320000000000014,18.54
474390,3,1,1854,Auckland,NEW,New Zealand,36.17S,175.03E,1.8869999999999996,18.316
474391,4,1,1854,Auckland,NEW,New Zealand,36.17S,175.03E,1.7789999999999986,15.514999999999999
474392,5,1,1854,Auckland,NEW,New Zealand,36.17S,175.03E,1.3950000000000016,14.168999999999999
474393,6,1,1854,Auckland,NEW,New Zealand,36.17S,175.03E,1.553999999999998,12.51
474394,7,1,1854,Auckland,NEW,New Zealand,36.17S,175.03E,1.6800000000000004,11.773000000000001
474395,8,1,1854,Auckland,NEW,New Zealand,36.17S,175.03E,1.307999999999999,11.558
474396,9,1,1854,Auckland,NEW,New Zealand,36.17S,175.03E,0.9349999999999998,11.883999999999999
474397,10,1,1854,Auckland,NEW,New Zealand,36.17S,175.03E,3.006000000000001,12.640999999999998
474398,11,1,1854,Auckland,NEW,New Zealand,36.17S,175.03E,1.6680000000000008,14.065
474399,12,1,1854,Auckland,NEW,New Zealand,36.17S,175.03E,2.1799999999999997,15.572000000000001
474400,1,1,1855,Auckland,NEW,New Zealand,36.17S,175.03E,2.2619999999999982,17.421
474401,2,1,1855,Auckland,NEW,New Zealand,36.17S,175.03E,2.8500000000000014,17.970000000000002
474402,3,1,1855,Auckland,NEW,New Zealand,36.17S,175.03E,1.2809999999999988,17.588
474403,4,1,1855,Auckland,NEW,New Zealand,36.17S,175.03E,1.5329999999999997,16.436
474404,5,1,1855,Auckland,NEW,New Zealand,36.17S,175.03E,1.2219999999999982,14.446
474405,6,1,1855,Auckland,NEW,New Zealand,36.17S,175.03E,0.9759999999999991,12.69
474406,7,1,1855,Auckland,NEW,New Zealand,36.17S,175.03E,0.8360000000000016,11.753
474407,8,1,1855,Auckland,NEW,New Zealand,36.17S,175.03E,1.578999999999999,11.282999999999998
